,id,name,latitude,longitude,number_of_bikes
57,0f9fabd3b11f238b817673ee0162a944,McCowan Rd / Trudelle St,43.74033901575211,-79.23935319629516,19
58,0fa15700b0d780b8f810ced06a01760d,Queens Quay W / Dan Leckie Way,43.636533,-79.395854,27
59,0faf9e7c7d5403b8f7dc7574fa6d0c6e,Roehampton Ave / Mount Pleasant Rd,43.70942,-79.39139,18
60,0ff8f31be644b9e2af6d38b89bf42c07,Niagara St / Tecumseth St,43.641389,-79.404444,15
61,100594f0c1240ddcfb94c20a7fc54492,Uno Dr / The Queensway,43.62649329992186,-79.50358167641535,15
62,103d15a731b9d215637c447fea0c7209,Oakdale Community Centre,43.74751496038769,-79.5132569853195,14
63,1053161189e46ea1c3122c94b644bc9d,Trinity St /Front St E,43.651318,-79.36023,19
64,10722d0c5054c529a0d71f9eb2c89f92,Summerhill Subway Station,43.681944,-79.390556,11
65,122f61f32933992b90325cf6b02de9d5,Sheppard Ave W / Chesswood Dr,43.755583971122874,-79.47446032684479,19
66,12481528bb8d296c8bc4014306f36afd,Bellwoods Ave / Treford Pl - SMART,43.65246,-79.413528,20
67,124ed44b13876f8019e356d76ba645ee,Swansea Community Centre,43.6438036,-79.4770327,15
68,125e730a6da5714af8567ae352485337,The Queensway / High St,43.630874,-79.482407,23
69,126121fbcccd20a50c8bd94206c7d81b,Esther Shiner Stadium,43.7774374,-79.4447096,23
70,12ff7c783a2e93510819802cd0d2c365,Rogers Rd / Watt Ave,43.68233679999999,-79.4680594,14
71,135f69ed3bde48aaf1d0006b4f080149,College Park - Gerrard Entrance,43.658938,-79.383518,25
72,13e6abf323682b291aadb3371ce32cc7,Carlton St / Parliament St,43.664524,-79.36793,26
73,1458ace78e8ffe65dd60c610007afe8e,Avenue Rd / Oxton Ave ,43.69711160305226,-79.40537298227844,15
74,146c961dd6b178771287133da0629eba,Spadina Rd / Austin Terrace,43.67883,-79.408723,17
75,147a0f1ac692ec386cfdbadbde2179a1,Hanna Ave / Snooker St,43.639547,-79.420022,15
76,14971ec1c8aa07165b67710a2afb84c2,Queen St W / John St,43.650077,-79.391291,23
77,14d5d7e0f5a8e23c9b50f62ea39f725c,Glen Edyth Dr / Davenport Rd,43.677778,-79.405556,15
